BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
1,closed,09/21/18,complete,07/21/17,in-person,NA,NA,4300-block of Darby St at Damon Ave,FALSE,-90.27091074256596,38.693595459533014
2,open,04/06/18,NA,08/11,google maps,NA,NA,NA,NA,-90.27703299909386,38.68139399988967
3,closed,09/21/18,complete,07/31/17,in-person,NA,NA,"4900-block of Palm St, mid-block",FALSE,-90.25177801292625,38.67527193573065
4,closed,09/21/18,complete,07/21/17,in-person,NA,NA,"8700-block of Annetta, mid-block",FALSE,-90.23776164120962,38.71737192429043
6,closed,09/21/18,complete,10/12,google maps,NA,NA,600-block of Coal Bank Rd at the City boundary,FALSE,-90.18396344836796,38.77239175685306
7,closed,09/21/18,complete,10/11,google maps,NA,NA,3200-block of Hall St at Buchanan St,FALSE,-90.18990291430865,38.65970097743545
9,closed,09/21/18,partial,09/12,google maps,NA,NA,10100-block of Lookaway Dr at Shepley Blvd,FALSE,-90.19312000010156,38.75372101256238
10,open,04/06/18,NA,07/16,google maps,NA,NA,NA,NA,-90.20394172734146,38.66518909124388
11,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1900-block of Penrose St at North 19th St,FALSE,-90.20460787900048,38.6659870310948
12,open,04/06/18,NA,08/17,google maps,NA,NA,NA,NA,-90.22007218863271,38.67487248630817
13,closed,09/21/18,complete,06/29/17,in-person,NA,NA,2000-block of Agnes Ave at North 21st St,FALSE,-90.20256749983663,38.6573922369632
14,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3800-block of Ashland Ave at Vandeventer Blvd,FALSE,-90.22406222190581,38.661575210915856
16,closed,09/21/18,complete,07/17,google maps,NA,NA,3500-block of Bailey Ave at North Grand Blvd,FALSE,-90.21501923175941,38.663329524878804
15,closed,09/21/18,complete,07/22/17,in-person,NA,NA,2900-block of Bailey Ave at Glasgow Ave,FALSE,-90.21170959727363,38.66188434461924
17,closed,09/21/18,complete,07/22/17,in-person,NA,NA,2900-block of Barrett St at Glasgow Ave,FALSE,-90.21224221418161,38.66114352492337
18,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1100-block of Bremen Ave at North 11th St,FALSE,-90.19907140826048,38.66384969868444
19,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1100-block of Bremen Ave at North 14th St,FALSE,-90.1999134024326,38.66357265247568
20,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1900-block of Bremen Ave at North 20th St,FALSE,-90.20374239201868,38.66232580484417
21,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1500-block of Bremen Ave at Blair Ave,FALSE,-90.20145715674556,38.66304958881809
22,open,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.2041244976118,38.657606949514665
23,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3600-block of Dodier St at North Spring Ave,FALSE,-90.22164161792547,38.65744421954973
24,open,04/06/18,NA,07/16,google maps,NA,NA,NA,NA,-90.20281890965492,38.66842480899214
25,closed,09/21/18,complete,07/22/17,in-person,NA,NA,1500-block of Gano Ave at North 20th St,FALSE,-90.21033460584927,38.672665906700075
26,open,04/06/18,NA,08/14,google maps,NA,NA,NA,NA,-90.20849358542473,38.67365020177805
27,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3800-block of Greer Ave at Vandeventer Blvd,FALSE,-90.22525594679486,38.659917483443444
28,closed,09/21/18,complete,07/22/17,in-person,NA,NA,"3500-block of Harper St, mid-block",FALSE,-90.21562821223162,38.661656339124484
30,closed,09/21/18,complete,06/29/17,in-person,NA,NA,2300-block of Mallinckrodt St at North 25th St,FALSE,-90.20783345697059,38.657556155893836
32,closed,09/21/18,complete,06/29/17,in-person,NA,NA,4229-block of North 19th St at Farragut St,FALSE,-90.20497511843521,38.666831809024885
34,closed,09/21/18,complete,07/22/17,in-person,NA,NA,3500-block of Palm St at North Grand Blvd,FALSE,-90.21724394141452,38.66008437416763
35,open,04/06/18,NA,05/17,google maps,NA,NA,NA,NA,-90.21091850194263,38.66578723760309
36,closed,09/21/18,complete,06/29/17,in-person,NA,NA,4200-block of Randall Pl at East Penrose StL,FALSE,-90.20197656135524,38.66692980276732
37,closed,09/21/18,complete,06/29/17,in-person,NA,NA,4200-block of 21st St at Penrose St,FALSE,-90.20678551098372,38.6653529687421
38,closed,09/21/18,complete,09/14,google maps,NA,NA,4000-block of North 22nd St at Newhouse Ave,FALSE,-90.20790820597523,38.66252252057338
39,closed,09/21/18,complete,06/29/17,in-person,NA,NA,3400-block of North 22nd St at Palm St,FALSE,-90.20502274974369,38.65669206508008
40,open,04/06/18,NA,09/14,google maps,NA,NA,NA,NA,-90.20685995744776,38.657868598833204
41,open,04/06/18,NA,09/14,google maps,NA,NA,NA,NA,-90.20893354361017,38.66211353413804
42,closed,09/21/18,complete,06/29/17,in-person,NA,NA,3500-block of North 23rd St at Palm St,FALSE,-90.20582946370664,38.65686623060117
43,closed,09/21/18,complete,10/11,google maps,NA,NA,3900-block of Cote Brilliante Ave at Vandeventer Ave,FALSE,-90.23101440620106,38.65224820397971
44,closed,09/21/18,complete,07/31/17,in-person,NA,NA,4000-block of Cote Brilliante Ave at North Sarah St,FALSE,-90.23548776814066,38.654230433045896
45,open,04/06/18,NA,09/16,google maps,NA,NA,NA,NA,-90.23998014069446,38.660496073377544
